protocol_name,scenario_id,score,guard_ok,Q30,anchor_Q30,delta_Q30,plating_loss,anchor_plating_loss,delta_plating_loss,sei_growth,anchor_sei_growth,delta_sei_growth,total_lli,anchor_total_lli,delta_total_lli,success
UA4_EVTBO_3.00C_rest10m_4.30C_v4p16,nominal,0.0,True,0.09521888721884313,0.09521888721884313,0.0,0.3218373881357771,0.3218373881357771,0.0,57.53493237884105,57.53493237884105,0.0,0.014024903556530726,0.014024903556530726,0.0,True
UA4_EVTBO_3.00C_rest10m_4.30C_v4p16,warm_cell,0.0,True,0.09756573526065265,0.09756573526065265,0.0,0.14414352224026533,0.14414352224026533,0.0,69.68735353994744,69.68735353994744,0.0,0.007820835900140863,0.007820835900140863,0.0,True
UA4_EVTBO_3.00C_rest10m_4.30C_v4p16,hot_cell,0.0,True,0.09919517877718717,0.09919517877718717,0.0,0.148032792193664,0.148032792193664,0.0,77.58908674389363,77.58908674389363,0.0,0.008242915580611864,0.008242915580611864,0.0,True
UA4_EVTBO_3.00C_rest10m_4.30C_v4p16,plating_stress,0.0,True,0.04132149957947817,0.04132149957947817,0.0,0.32820664337696465,0.32820664337696465,0.0,49.5834584591177,49.5834584591177,0.0,0.013983841359112304,0.013983841359112304,0.0,True
UA4_EVTBO_3.00C_rest10m_4.30C_v4p16,sei_stress,0.0,True,0.04165989322469533,0.04165989322469533,0.0,0.32617938941684754,0.32617938941684754,0.0,52.25708915813922,52.25708915813922,0.0,0.014001915424365267,0.014001915424365267,0.0,True
UA5_PSMS_3.00C_rest10m_4.30C_e4.30_v4p16_h3.35_0m_noentry_stagemask,nominal,0.0,True,0.09521888721884313,0.09521888721884313,0.0,0.3218373881357771,0.3218373881357771,0.0,57.53493237884105,57.53493237884105,0.0,0.014024903556530726,0.014024903556530726,0.0,True
UA5_PSMS_3.00C_rest10m_4.30C_e4.30_v4p16_h3.35_0m_noentry_stagemask,warm_cell,0.0,True,0.09756573526065265,0.09756573526065265,0.0,0.14414352224026533,0.14414352224026533,0.0,69.68735353994744,69.68735353994744,0.0,0.007820835900140863,0.007820835900140863,0.0,True
UA5_PSMS_3.00C_rest10m_4.30C_e4.30_v4p16_h3.35_0m_noentry_stagemask,hot_cell,0.0,True,0.09919517877718717,0.09919517877718717,0.0,0.148032792193664,0.148032792193664,0.0,77.58908674389363,77.58908674389363,0.0,0.008242915580611864,0.008242915580611864,0.0,True
UA5_PSMS_3.00C_rest10m_4.30C_e4.30_v4p16_h3.35_0m_noentry_stagemask,plating_stress,0.0,True,0.04132149957947817,0.04132149957947817,0.0,0.32820664337696465,0.32820664337696465,0.0,49.5834584591177,49.5834584591177,0.0,0.013983841359112304,0.013983841359112304,0.0,True
UA5_PSMS_3.00C_rest10m_4.30C_e4.30_v4p16_h3.35_0m_noentry_stagemask,sei_stress,0.0,True,0.04165989322469533,0.04165989322469533,0.0,0.32617938941684754,0.32617938941684754,0.0,52.25708915813922,52.25708915813922,0.0,0.014001915424365267,0.014001915424365267,0.0,True
UA5_PSMS_3.00C_rest10m_4.30C_e4.30_v4p18_h3.35_1p5m_noentry_stagemask,nominal,0.0,True,0.09521888721884313,0.09521888721884313,0.0,0.3218373881357771,0.3218373881357771,0.0,57.53493237884105,57.53493237884105,0.0,0.014024903556530726,0.014024903556530726,0.0,True
UA5_PSMS_3.00C_rest10m_4.30C_e4.30_v4p18_h3.35_1p5m_noentry_stagemask,warm_cell,0.0,True,0.09756573526065265,0.09756573526065265,0.0,0.14414352224026533,0.14414352224026533,0.0,69.68735353994744,69.68735353994744,0.0,0.007820835900140863,0.007820835900140863,0.0,True
UA5_PSMS_3.00C_rest10m_4.30C_e4.30_v4p18_h3.35_1p5m_noentry_stagemask,hot_cell,0.0,True,0.09919517877718717,0.09919517877718717,0.0,0.148032792193664,0.148032792193664,0.0,77.58908674389363,77.58908674389363,0.0,0.008242915580611864,0.008242915580611864,0.0,True
UA5_PSMS_3.00C_rest10m_4.30C_e4.30_v4p18_h3.35_1p5m_noentry_stagemask,plating_stress,0.0,True,0.04132149957947817,0.04132149957947817,0.0,0.32820664337696465,0.32820664337696465,0.0,49.5834584591177,49.5834584591177,0.0,0.013983841359112304,0.013983841359112304,0.0,True
UA5_PSMS_3.00C_rest10m_4.30C_e4.30_v4p18_h3.35_1p5m_noentry_stagemask,sei_stress,0.0,True,0.04165989322469533,0.04165989322469533,0.0,0.32617938941684754,0.32617938941684754,0.0,52.25708915813922,52.25708915813922,0.0,0.014001915424365267,0.014001915424365267,0.0,True
UA5_PSMS_3.00C_rest10m_4.30C_e4.30_v4p17_h3.55_0m_noentry_stagemask,nominal,0.0,True,0.09521888721884313,0.09521888721884313,0.0,0.3218373881357771,0.3218373881357771,0.0,57.53493237884105,57.53493237884105,0.0,0.014024903556530726,0.014024903556530726,0.0,True
UA5_PSMS_3.00C_rest10m_4.30C_e4.30_v4p17_h3.55_0m_noentry_stagemask,warm_cell,0.0,True,0.09756573526065265,0.09756573526065265,0.0,0.14414352224026533,0.14414352224026533,0.0,69.68735353994744,69.68735353994744,0.0,0.007820835900140863,0.007820835900140863,0.0,True
UA5_PSMS_3.00C_rest10m_4.30C_e4.30_v4p17_h3.55_0m_noentry_stagemask,hot_cell,0.0,True,0.09919517877718717,0.09919517877718717,0.0,0.148032792193664,0.148032792193664,0.0,77.58908674389363,77.58908674389363,0.0,0.008242915580611864,0.008242915580611864,0.0,True
UA5_PSMS_3.00C_rest10m_4.30C_e4.30_v4p17_h3.55_0m_noentry_stagemask,plating_stress,0.0,True,0.04132149957947817,0.04132149957947817,0.0,0.32820664337696465,0.32820664337696465,0.0,49.5834584591177,49.5834584591177,0.0,0.013983841359112304,0.013983841359112304,0.0,True
UA5_PSMS_3.00C_rest10m_4.30C_e4.30_v4p17_h3.55_0m_noentry_stagemask,sei_stress,0.0,True,0.04165989322469533,0.04165989322469533,0.0,0.32617938941684754,0.32617938941684754,0.0,52.25708915813922,52.25708915813922,0.0,0.014001915424365267,0.014001915424365267,0.0,True
UA5_PSMS_3.05C_rest10m_4.30C_e4.30_v4p16_h3.40_0p5m_noentry_stagemask,nominal,-0.10070972887695687,False,0.040582541057670216,0.09521888721884313,-0.5737973605551733,0.32096017918306696,0.3218373881357771,0.0027256278637834124,49.18988824654195,57.53493237884105,0.14504308577875483,0.013699669810076448,0.014024903556530726,0.023189731404807574,True
UA5_PSMS_3.05C_rest10m_4.30C_e4.30_v4p16_h3.40_0p5m_noentry_stagemask,warm_cell,-0.019051262687964445,True,0.09824549282288457,0.09756573526065265,0.006967175109334278,0.15133006741718413,0.14414352224026533,-0.049856872270263544,69.63583989508483,69.68735353994744,0.0007392108072102332,0.008087171059949485,0.007820835900140863,-0.03405456439813875,True
UA5_PSMS_3.05C_rest10m_4.30C_e4.30_v4p16_h3.40_0p5m_noentry_stagemask,hot_cell,-0.008773260958173936,True,0.09981241084415611,0.09919517877718717,0.006222399864366091,0.15179451779133504,0.148032792193664,-0.025411434466153723,77.52354591510253,77.58908674389363,0.000844717105737274,0.008380973917887603,0.008242915580611864,-0.016748726336645387,True
UA5_PSMS_3.05C_rest10m_4.30C_e4.30_v4p16_h3.40_0p5m_noentry_stagemask,plating_stress,0.0053432774630751976,True,0.04014516300655428,0.04132149957947817,-0.028467906172217002,0.32135234286644965,0.32820664337696465,0.020884100455707204,49.11295938904804,49.5834584591177,0.009489032929350775,0.013711605576684282,0.013983841359112304,0.019467882639459814,True
UA5_PSMS_3.05C_rest10m_4.30C_e4.30_v4p16_h3.40_0p5m_noentry_stagemask,sei_stress,0.005085998337265451,True,0.04047311957037714,0.04165989322469533,-0.02848719865692513,0.31938293480841257,0.32617938941684754,0.020836554451174442,51.800338863767834,52.25708915813922,0.008740446544758388,0.013732319870277915,0.014001915424365267,0.019254191010054104,True
UA5_PSMS_3.00C_rest9m_4.30C_e4.30_v4p15_h3.45_0p5m_noentry_stagemask,nominal,-0.10961343661913592,False,0.041769794775706054,0.09521888721884313,-0.5613286817802664,0.3276597236500516,0.3218373881357771,-0.01809092333243189,49.66492247278055,57.53493237884105,0.13678663692937193,0.013966290375151739,0.014024903556530726,0.00417922170678271,True
UA5_PSMS_3.00C_rest9m_4.30C_e4.30_v4p15_h3.45_0p5m_noentry_stagemask,warm_cell,-0.04561997057525108,True,0.09390478435282017,0.09756573526065265,-0.03752291619647039,0.15704565774107393,0.14414352224026533,-0.08950895121948456,69.36315050148058,69.68735353994744,0.004652250688225904,0.008290870214744334,0.007820835900140863,-0.06010026557327526,True
UA5_PSMS_3.00C_rest9m_4.30C_e4.30_v4p15_h3.45_0p5m_noentry_stagemask,hot_cell,-0.027740989235775143,True,0.09542627717075865,0.09919517877718717,-0.03799480632918918,0.15508595060418084,0.148032792193664,-0.04764591889403496,77.20387241414242,77.58908674389363,0.004964800410948568,0.008492577272569114,0.008242915580611864,-0.030288032130825,True
UA5_PSMS_3.00C_rest9m_4.30C_e4.30_v4p15_h3.45_0p5m_noentry_stagemask,plating_stress,0.0,True,0.04132149957947817,0.04132149957947817,0.0,0.32820664337696465,0.32820664337696465,0.0,49.5834584591177,49.5834584591177,0.0,0.013983841359112304,0.013983841359112304,0.0,True
UA5_PSMS_3.00C_rest9m_4.30C_e4.30_v4p15_h3.45_0p5m_noentry_stagemask,sei_stress,0.0,True,0.04165989322469533,0.04165989322469533,0.0,0.32617938941684754,0.32617938941684754,0.0,52.25708915813922,52.25708915813922,0.0,0.014001915424365267,0.014001915424365267,0.0,True
UA5_PSMS_3.00C_rest11m_4.30C_e4.30_v4p17_h3.50_1m_noentry_stagemask,nominal,0.14158322421891834,True,0.0990614153663272,0.09521888721884313,0.040354684450919207,0.22937919894849812,0.3218373881357771,0.28728231273202054,57.90100620259887,57.53493237884105,-0.0063626358565505095,0.01058798122974736,0.014024903556530726,0.2450585355492841,True
UA5_PSMS_3.00C_rest11m_4.30C_e4.30_v4p17_h3.50_1m_noentry_stagemask,warm_cell,0.03310053858545986,True,0.10123575439047681,0.09756573526065265,0.03761586093744374,0.13555019083313208,0.14414352224026533,0.05961649384985526,69.99678630650247,69.68735353994744,-0.004440300152561472,0.007511051810343401,0.007820835900140863,0.039610099707101894,True
UA5_PSMS_3.00C_rest11m_4.30C_e4.30_v4p17_h3.50_1m_noentry_stagemask,hot_cell,0.025454001273304813,True,0.10301769286153072,0.09919517877718717,0.03853528096289539,0.1418512672964227,0.148032792193664,0.041757807885933265,77.96583423500577,77.58908674389363,-0.004855676318961077,0.0080254790689768,0.008242915580611864,0.026378592563351684,True
UA5_PSMS_3.00C_rest11m_4.30C_e4.30_v4p17_h3.50_1m_noentry_stagemask,plating_stress,0.4176036654880611,False,0.09912886590057131,0.04132149957947817,1.3989658388342343,0.24732811007302097,0.32820664337696465,0.24642564352681284,57.997107672342345,49.5834584591177,-0.16968661474394375,0.01126105048406431,0.013983841359112304,0.194709794335141,True
