rank,protocol_name,protocol_type,success_rate,guard_pass_rate,mean_score,worst_score,score_std,robust_utility,mean_delta_Q30,worst_delta_Q30,mean_delta_plating_loss,worst_delta_plating_loss,mean_delta_sei_growth,worst_delta_sei_growth,mean_delta_total_lli,worst_delta_total_lli
1,UA5_PSMS_2.90C_rest11m_4.30C_e4.30_v4p16_h2.70_1p5m_stagemask,UA5_PSMS_Ablation_Candidate,1.0,1.0,0.3021282766351534,0.28556024979863215,0.016568026836521282,0.29632946724237097,0.052868838603628704,0.01996479001037517,0.6147516536694106,0.5665067248679153,0.015464757829321517,0.0050990052192086115,0.5254278564382528,0.48486238191052244
2,UA5_PSMS_2.90C_rest10m_4.15C_e4.40_v4p16_h3.05_2m_stagemask,UA5_PSMS_Ablation_Candidate,1.0,1.0,0.26784480517992454,0.2096944942423417,0.05815031093758283,0.24749219635177055,0.017885564218683068,-0.016092383346943365,0.5565402021699526,0.4182638505121767,0.020612213330568643,0.009790223882416203,0.4763412410004939,0.3588603907904645
3,UA5_PSMS_2.90C_rest10m_4.30C_e4.30_v4p14_h2.70_2m_stagemask,UA5_PSMS_Ablation_Candidate,1.0,1.0,0.2555455436639634,0.20821562871028004,0.04732991495368338,0.23898007343017424,0.014656362147818276,-0.01737898102075112,0.5322531924613455,0.4182638505121767,0.01966316564539201,0.009140985581593592,0.45560945440129796,0.3587659734309622
4,UA5_PSMS_3.05C_rest12m_4.15C_e4.35_v4p14_h3.55_2m_stagemask,UA5_PSMS_Ablation_Candidate,1.0,1.0,0.2668382749231158,0.1960806827293601,0.07075759219375567,0.24207311765530132,0.11697470716825716,0.08063553575583443,0.5043880883909283,0.33687008689973175,0.014981276468151342,0.005464321431045544,0.4310090276651264,0.28867444400598324
5,BO_3step_aggressive,BO_Optimal,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,BO_3step_conservative,BO_Optimal,1.0,0.0,0.2902439220363069,0.2887408519542715,0.0015030700820354015,0.2897178475075945,-0.6776474753389414,-0.6913350954117226,0.9964517416219025,0.9956370343340141,-0.005253074935881365,-0.024058613836060328,0.8474244967981479,0.8473448425852924
