rank,protocol_name,protocol_type,success_rate,guard_pass_rate,mean_score,worst_score,score_std,robust_utility,mean_delta_Q30,worst_delta_Q30,mean_delta_plating_loss,worst_delta_plating_loss,mean_delta_sei_growth,worst_delta_sei_growth,mean_delta_total_lli,worst_delta_total_lli
1,UA5_PSMS_2.90C_rest11m_4.10C_e4.50_v4p14_h2.65_1p5m_stagemask,UA5_PSMS_Ablation_Candidate,1.0,1.0,0.32602847541493185,0.28869939159212304,0.037329083822808834,0.3129632960769488,0.0598988583823851,0.023165436777137973,0.6614132564484305,0.5665067248679153,0.017509866851114435,0.0065806998684173465,0.5652919199777974,0.4850778616445272
2,UA5_PSMS_3.00C_rest10m_4.20C_e4.20_v4p14_h2.55_1m_stagemask,UA5_PSMS_Ablation_Candidate,1.0,1.0,0.14345267371410317,0.017696524531274297,0.12575614918282887,0.09943802150011306,0.0242393154682633,-0.0046537841964690374,0.28374443480294687,0.0010495131112825534,0.021977498804867816,0.013713028397050865,0.24384944578033474,0.0028911414837681356
3,BO_3step_aggressive,BO_Optimal,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,UA5_PSMS_3.10C_rest11m_4.20C_e4.20_v4p15_h2.55_1m_stagemask,UA5_PSMS_Ablation_Candidate,1.0,0.5,0.09888651426738052,-0.08120673716996052,0.18009325143734103,0.03585387626431116,-0.25766512995962265,-0.5615693398998838,0.29372198549729267,0.025672255524860275,0.09629840034285306,0.02747829513520604,0.26319080118899907,0.04595163014468135
5,BO_3step_conservative,BO_Optimal,1.0,0.0,0.2902439220363069,0.2887408519542715,0.0015030700820354015,0.2897178475075945,-0.6776474753389414,-0.6913350954117226,0.9964517416219025,0.9956370343340141,-0.005253074935881365,-0.024058613836060328,0.8474244967981479,0.8473448425852924
6,UA5_PSMS_3.05C_rest8m_4.25C_e4.25_v4p14_h3.35_0m_stagemask,UA5_PSMS_Ablation_Candidate,1.0,0.0,0.03743653599344239,-0.09038581317433425,0.12782234916777663,-0.007301286215279423,-0.3112912886106446,-0.5485562602807228,0.18769095655984067,0.003772280392886448,0.09959064398642653,0.04201989670059265,0.17375583203814698,0.026079335918238945
