protocol_name,scenario_id,score,guard_ok,Q30,anchor_Q30,delta_Q30,plating_loss,anchor_plating_loss,delta_plating_loss,sei_growth,anchor_sei_growth,delta_sei_growth,total_lli,anchor_total_lli,delta_total_lli,success
UA5_PSMS_2.90C_rest11m_4.10C_e4.50_v4p14_h2.65_1p5m_stagemask,nominal,0.28869939159212304,True,0.0985817735681499,0.08989501345816822,0.09663227998763223,0.13966091940898745,0.3221755155634952,0.5665067248679153,57.978103814197254,58.362167723656874,0.0065806998684173465,0.007243160078156294,0.014066515184779317,0.4850778616445272,True
UA5_PSMS_2.90C_rest11m_4.10C_e4.50_v4p14_h2.65_1p5m_stagemask,warm_cell,0.3633575592377407,True,0.10013487801775575,0.0978677293216334,0.023165436777137973,0.09171865556457429,0.3763894278599414,0.7563197880289458,69.90511496596098,71.95134160423186,0.028439033833811522,0.005872418327386577,0.016565634307197447,0.6455059783110675,True
UA5_PSMS_3.00C_rest10m_4.20C_e4.20_v4p14_h2.55_1m_stagemask,nominal,0.017696524531274297,True,0.09467135263161384,0.08989501345816822,0.05313241513299564,0.3218373881357771,0.3221755155634952,0.0010495131112825534,57.56184566034892,58.362167723656874,0.013713028397050865,0.014025846899196547,0.014066515184779317,0.0028911414837681356,True
UA5_PSMS_3.00C_rest10m_4.20C_e4.20_v4p14_h2.55_1m_stagemask,warm_cell,0.26920882289693204,True,0.09741227402957207,0.0978677293216334,-0.0046537841964690374,0.16318764255158133,0.3763894278599414,0.5664393564946112,69.77539134662531,71.95134160423186,0.030241969212684766,0.008534486410128325,0.016565634307197447,0.48480775007690136,True
BO_3step_aggressive,nominal,0.0,True,0.08989501345816822,0.08989501345816822,0.0,0.3221755155634952,0.3221755155634952,0.0,58.362167723656874,58.362167723656874,0.0,0.014066515184779317,0.014066515184779317,0.0,True
BO_3step_aggressive,warm_cell,0.0,True,0.0978677293216334,0.0978677293216334,0.0,0.3763894278599414,0.3763894278599414,0.0,71.95134160423186,71.95134160423186,0.0,0.016565634307197447,0.016565634307197447,0.0,True
UA5_PSMS_3.10C_rest11m_4.20C_e4.20_v4p15_h2.55_1m_stagemask,nominal,-0.08120673716996052,False,0.03941273009017353,0.08989501345816822,-0.5615693398998838,0.31390454340409557,0.3221755155634952,0.025672255524860275,48.72549380843902,58.362167723656874,0.1651185055505001,0.013420135881583794,0.014066515184779317,0.04595163014468135,True
UA5_PSMS_3.10C_rest11m_4.20C_e4.20_v4p15_h2.55_1m_stagemask,warm_cell,0.27897976570472155,True,0.10239304308525989,0.0978677293216334,0.04623907998063848,0.1649444932863938,0.3763894278599414,0.561771715469725,69.97424140425674,71.95134160423186,0.02747829513520604,0.008607007076963298,0.016565634307197447,0.48042997223331674,True
BO_3step_conservative,nominal,0.2887408519542715,False,0.030208333333333327,0.08989501345816822,-0.6639598552661602,0.0014056407128248296,0.3221755155634952,0.9956370343340141,59.76628057955572,58.362167723656874,-0.024058613836060328,0.002147326089808862,0.014066515184779317,0.8473448425852924,True
BO_3step_conservative,warm_cell,0.2917469921183423,False,0.030208333333333334,0.0978677293216334,-0.6913350954117226,0.0010288797308697112,0.3763894278599414,0.9972664489097909,70.97622363995764,71.95134160423186,0.013552463964297597,0.0025261904677173247,0.016565634307197447,0.8475041510110033,True
UA5_PSMS_3.05C_rest8m_4.25C_e4.25_v4p14_h3.35_0m_stagemask,nominal,-0.09038581317433425,False,0.040582541057670216,0.08989501345816822,-0.5485562602807228,0.32096017918306696,0.3221755155634952,0.003772280392886448,49.18988824654195,58.362167723656874,0.15716139127226042,0.013699669810076448,0.014066515184779317,0.026079335918238945,True
UA5_PSMS_3.05C_rest8m_4.25C_e4.25_v4p14_h3.35_0m_stagemask,warm_cell,0.16525888516121903,False,0.09062294177261661,0.0978677293216334,-0.07402631694056636,0.23651949081066012,0.3763894278599414,0.37160963272679487,68.92795366255298,71.95134160423186,0.04201989670059265,0.011240903904420023,0.016565634307197447,0.321432328158055,True
