rank,protocol_name,protocol_type,success_rate,guard_pass_rate,mean_score,worst_score,score_std,robust_utility,mean_delta_Q30,worst_delta_Q30,mean_delta_plating_loss,worst_delta_plating_loss,mean_delta_sei_growth,worst_delta_sei_growth,mean_delta_total_lli,worst_delta_total_lli
1,UA5_PSMS_2.90C_rest11m_4.10C_e4.50_v4p14_h2.65_1p5m_stagemask,UA5_PSMS_Ablation_Candidate,1.0,1.0,0.28869939159212304,0.28869939159212304,0.0,0.28869939159212304,0.09663227998763223,0.09663227998763223,0.5665067248679153,0.5665067248679153,0.0065806998684173465,0.0065806998684173465,0.4850778616445272,0.4850778616445272
2,UA5_PSMS_3.00C_rest10m_4.20C_e4.20_v4p14_h2.55_1m_stagemask,UA5_PSMS_Ablation_Candidate,1.0,1.0,0.017696524531274297,0.017696524531274297,0.0,0.017696524531274297,0.05313241513299564,0.05313241513299564,0.0010495131112825534,0.0010495131112825534,0.013713028397050865,0.013713028397050865,0.0028911414837681356,0.0028911414837681356
3,BO_3step_aggressive,BO_Optimal,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,BO_3step_conservative,BO_Optimal,1.0,0.0,0.2887408519542715,0.2887408519542715,0.0,0.2887408519542715,-0.6639598552661602,-0.6639598552661602,0.9956370343340141,0.9956370343340141,-0.024058613836060328,-0.024058613836060328,0.8473448425852924,0.8473448425852924
5,UA5_PSMS_3.05C_rest8m_4.25C_e4.25_v4p14_h3.35_0m_stagemask,UA5_PSMS_Ablation_Candidate,1.0,0.0,-0.09038581317433425,-0.09038581317433425,0.0,-0.09038581317433425,-0.5485562602807228,-0.5485562602807228,0.003772280392886448,0.003772280392886448,0.15716139127226042,0.15716139127226042,0.026079335918238945,0.026079335918238945
